track_id,Song,Artists,Album,length,time_signature,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,key,valence,speechiness,mode,Popularity,favorite
6Yj7Zhxt73uvwFFvzQXdxO,Flight's Booked,Drake,"Honestly, Nevermind",254407,68,0.593,0.886,0.41,0.0993,0.115,-13.097,0.0531,122.584,4,0,3,0.201,1
4IcbUXrAzBtn6iUO1LP471,Away From Home,Drake,For All The Dogs,258592,81,0.848,0.0195,0.625,0,0.109,-7.64,0.0587,93.019,4,1,1,0.226,1
17IBDpAl3J39swaoPlfGpp,Another Late Night (feat. Lil Yachty),Drake,For All The Dogs,170414,83,0.684,0.0347,0.541,0,0.138,-8.04,0.0483,158.046,4,0,5,0.214,1
2HALQBSAvpw1oCzL5QsrT2,Trojan Horse,Dave,Split Decision,248866,76,0.891,0.475,0.711,0,0.227,-4.429,0.332,138.31,4,1,7,0.743,1
2FDTHlrBguDzQkp7PVj16Q,Sprinter,Dave,Sprinter,229133,94,0.916,0.186,0.583,0,0.0798,-8.067,0.241,141.095,4,1,1,0.661,1
5FG7Tl93LdH117jEKYl3Cm,Essence (feat. Tems),Wizkid,Made In Lagos,248040,76,0.849,0.0266,0.707,8.58E-06,0.618,-6.002,0.113,104.027,4,1,0,0.602,1
03rwnftfgpYVO6QDWOZcG6,Drew A Picasso,Drake,For All The Dogs,262768,82,0.707,0.375,0.334,0,0.17,-12.792,0.244,127.944,4,1,7,0.143,1
406ibEUZKNRotQ3eem7Bog,Palestine the Beautiful,El-Funoun Palestinian Popular Dance Troupe,Zajel,158760,39,0.648,0.389,0.694,0,0.116,-10.577,0.0695,180.099,4,1,2,0.928,1
4CIyxiObT9G35HrSItAblR,HVN ON EARTH (with Kodak Black),Lil Tecca,TEC,188870,76,0.734,0.078,0.649,0.000664,0.137,-5.12,0.108,132.038,3,1,8,0.239,1
3eP13S8D5m2cweMEg3ZDed,Virginia Beach,Drake,For All The Dogs,251094,88,0.402,0.106,0.514,0,0.181,-7.322,0.0471,120.009,4,0,1,0.2,1
2VjOTvl50tscmc0RDjPdr2,UK Rap,Dave,Split Decision,198026,80,0.92,0.339,0.682,2.08E-06,0.112,-4.82,0.368,140.071,4,1,1,0.697,1
2MyQK6cKu9IAzNXiBm7TD0,"CHOPPA SHOOT THE LOUDEST (with Chief Keef, feat.Trippie Redd)",Lil Tecca,We Love You Tecca 2,241655,56,0.585,0.0644,0.765,0,0.148,-5.575,0.0589,145.155,4,0,10,0.18,1
6dkffLWo31KnXmwCLsgA2K,Gist,Lil Tecca,TEC,130226,74,0.72,0.0407,0.614,0,0.103,-5.482,0.188,75.44,4,1,4,0.533,1
302EsF6DE70LfngVNLlqo5,Fell In Love (with Ken Carson),Lil Tecca,TEC,173195,75,0.63,0.00417,0.695,0,0.117,-5.74,0.0592,139.959,4,0,4,0.115,1
2YSzYUF3jWqb9YP9VXmpjE,IDGAF (feat. Yeat),Drake,For All The Dogs,260111,93,0.663,0.0464,0.67,8.92E-05,0.205,-8.399,0.271,136.952,4,1,8,0.138,1
1m0UFnuTktOkksvjbF9z0m,Ramenez la coupe à la maison,Vegedream,Marchand de sable,235555,72,0.808,0.0358,0.661,0,0.138,-6.237,0.0395,107.992,4,0,0,0.804,1
1PIgY9ybyFT9uWLM5POYGY,All The Parties (feat. Chief Keef),Drake,For All The Dogs,218611,82,0.65,0.552,0.405,0,0.107,-10.156,0.199,124.747,4,0,7,0.195,1
2nibvvDdAQkVraYP00z2RS,Calling For You (feat. 21 Savage),Drake,For All The Dogs,285630,85,0.571,0.0548,0.55,0,0.179,-6.567,0.106,120.947,4,1,0,0.104,1
3oZZfVvLJuDYc4Vn3A63Fw,Polar Opposites,Drake,For All The Dogs,257180,80,0.44,0.0924,0.274,3.37E-06,0.128,-14.464,0.0809,76.513,4,0,5,0.343,1
6fujklziTHa8uoM5OQSfIo,Black Beatles,Rae Sremmurd,SremmLife 2 (Deluxe),291893,77,0.794,0.142,0.632,0,0.128,-6.163,0.0649,145.926,4,1,0,0.355,1
0Mrnt1YqVuW2bqmwu4VxDt,Amen (feat. Teezo Touchdown),Drake,For All The Dogs,141212,83,0.646,0.0636,0.605,0,0.253,-7.59,0.188,90.156,3,1,0,0.309,1
3RaCGXCiiMufRPoexXxGkV,Slime You Out (feat. SZA),Drake,Slime You Out,310490,89,0.483,0.508,0.408,0,0.259,-9.243,0.0502,88.88,3,0,5,0.105,1
7DRM6aQqMhVMweZ8H7UBei,Yves,Lil Tecca,TEC,137547,73,0.674,0.0246,0.736,0,0.111,-6.798,0.291,140.142,4,0,5,0.179,1
3JZjcKImHcmOI9ylL4zrSc,Bahamas Promises,Drake,For All The Dogs,184089,83,0.626,0.85,0.309,1.31E-05,0.117,-10.397,0.0433,117.94,4,1,1,0.369,1
6ZprqcYFC6D9eIZaCoqrSn,Gently (feat. Bad Bunny),Drake,For All The Dogs,133694,87,0.868,0.0479,0.407,0.000111,0.139,-7.735,0.295,107.524,4,1,10,0.255,1
4XuhhLn59vKP4pCAnBg6Vz,Monday to Sunday,Lil Tecca,TEC,170398,68,0.696,0.0104,0.726,0,0.24,-4.504,0.0526,134.992,4,1,1,0.187,1
03KyKbbgu7nEYVMZdcd1NA,One Dollar,WorldV,One Dollar,202213,46,0.621,0.273,0.53,7.54E-06,0.207,-10.609,0.259,105.622,4,0,10,0.519,1
6rjuKpPydT2SxN15TZpV7r,500lbs,Lil Tecca,TEC,144390,81,0.722,0.0942,0.785,0,0.119,-5.451,0.0763,122.986,4,0,7,0.529,1
3YcOIEVaosMwND6mYRgzVe,Salty,Lil Tecca,TEC,135149,71,0.403,0.151,0.606,0,0.316,-8.078,0.0858,145.842,4,0,1,0.161,1
4ZT0wGKwlJRjpMUuwZVy3p,Daylight,Drake,For All The Dogs,164142,85,0.566,0.0149,0.564,0,0.104,-7.88,0.277,139.92,4,0,10,0.0667,1
53KaP77tkliz36LPxWGlWK,Fear Of Heights,Drake,For All The Dogs,155154,85,0.581,0.0128,0.325,0,0.16,-9.238,0.22,136.934,4,1,10,0.0666,1
0AAVJIN4plafvmNKqRCltG,I'M DAT N****,Future,I NEVER LIKED YOU,271840,66,0.911,0.0112,0.573,5.83E-05,0.131,-5.573,0.163,144.026,4,1,2,0.145,1
3kb5f77qPehMQkvQH5CQUg,Todo Homem - Antdot & Maz (BR) Remix,Zeca Veloso,Todo Homem [Antdot & Maz (BR) Remix],284516,54,0.689,0.0316,0.713,0.739,0.0991,-7.635,0.0333,124.011,4,1,6,0.0373,1
08XWh5c0BMyD1nKVxxl91z,Fountains (with Tems),Drake,Certified Lover Boy,192417,74,0.843,0.181,0.485,0.0675,0.107,-8.735,0.195,100.053,4,0,10,0.689,1
1N07KMMtQW7YUzAtmroYOq,U Don't Know Tec,Lil Tecca,TEC,110310,70,0.646,0.206,0.567,0,0.0967,-5.293,0.167,160.926,4,1,4,0.25,1
7aqfrAY2p9BUSiupwk3svU,First Person Shooter (feat. J. Cole),Drake,For All The Dogs,247444,91,0.47,0.0277,0.64,0,0.382,-7.779,0.32,163.92,4,1,2,0.248,1
41TZ7YP0hzQLnZ3pL0x7uz,Banho de Folhas - Maz Remix,Luedji Luna,Banho de Folhas (Maz Remix),215476,62,0.754,0.0275,0.914,0.764,0.0994,-8.151,0.0413,126.001,4,0,6,0.346,1
0EKAROsLKmddZmMrf4Sf37,Used2This,Lil Tecca,TEC,145655,69,0.691,0.0276,0.703,0,0.215,-6.052,0.039,145.054,5,0,1,0.21,1
0xl1w2q4VLojeXp4JfazPL,Sacrifices,Drake,More Life,307593,62,0.903,0.0407,0.439,0,0.138,-11.813,0.397,139.112,4,1,8,0.532,1
1vbn9fEyw1IYhqgZJdu9ZB,Falling Back,Drake,"Honestly, Nevermind",266178,64,0.718,0.238,0.758,0.00653,0.11,-8.29,0.0703,118.989,4,1,10,0.349,1
6mPZVis3gEGSSR2rhxlehT,Merci Beaucoup,Pop Smoke,Faith,175774,68,0.581,0.476,0.476,5.66E-06,0.495,-6.493,0.189,141.823,4,1,0,0.103,1
1L0OmJV0LnPDWuHCIGmBV6,On The Radar Freestyle,Drake,On The Radar Freestyle,275280,82,0.615,0.108,0.632,0,0.129,-8.539,0.292,150.126,4,1,1,0.194,1
2rjv9fXzpZDbB6lEeIoB3l,rodeo dr,Gunna,a Gift & a Curse,176946,73,0.8,0.0668,0.754,0,0.278,-5.259,0.216,134.136,4,0,1,0.334,1
4rmVZajAF7PkrCagGPHbqa,Sticky,Drake,"Honestly, Nevermind",243227,78,0.853,0.0917,0.495,0.000217,0.0844,-14.63,0.14,137.027,4,1,6,0.0774,1
0nAZGkBGKQCXyaoSJfRhC1,A Keeper,Drake,"Honestly, Nevermind",173097,69,0.6,0.512,0.482,0.000104,0.115,-11.596,0.0701,121.909,4,1,1,0.323,1
14QI6pBFZ9UtMqze2QdJhm,TEC,Lil Tecca,TEC,131858,72,0.649,0.0169,0.595,0,0.232,-5.837,0.111,138.125,4,0,1,0.196,1
7IqsNN0EMckx9YqddgXlwg,bread & butter,Gunna,a Gift & a Curse,226000,68,0.781,0.111,0.649,0,0.111,-4.294,0.247,85.063,4,0,9,0.134,1
3aQem4jVGdhtg116TmJnHz,What’s Next,Drake,Scary Hours 2,178153,75,0.781,0.0136,0.594,0,0.162,-6.959,0.0485,129.895,4,0,0,0.0628,1
1kNdtonJXHorsVpWerK8C2,Intro,Drake,"Honestly, Nevermind",36935,58,0.193,0.955,0.0218,0.88,0.117,-31.16,0.0389,125.501,3,0,0,0.213,1
3LtpKP5abr2qqjunvjlX5i,Doja,Central Cee,Doja,97392,85,0.911,0.38,0.573,0,0.403,-7.43,0.288,140.04,4,1,6,0.972,1
4FIgHqXd4KkOwxrGeLDYM2,Texts Go Green,Drake,"Honestly, Nevermind",308820,65,0.765,0.000916,0.627,0.195,0.0847,-4.607,0.0622,118.997,4,1,0,0.536,1
7l2nxyx7IkBX5orhkALg0V,Privileged Rappers,Drake,Her Loss,160821,77,0.934,0.00274,0.614,0,0.123,-7.384,0.198,144.045,4,1,5,0.616,1
5rfMpJorQrwpvCOfDM7Q5L,Wake Up,Dom Corleo,Wake Up,112153,62,0.752,0.0242,0.411,0,0.168,-8.407,0.0965,137.037,4,0,11,0.458,1
3N3d4OWbPVxTQVBFqNyykk,Down Hill,Drake,"Honestly, Nevermind",250864,58,0.718,0.965,0.319,0.00036,0.0895,-11.261,0.0435,109.994,4,1,3,0.639,1
1zgXLmPaBkcxB8LcAjskjM,biggest problem,Destroy Lonely,If Looks Could Kill,164595,57,0.799,0.00661,0.448,0,0.584,-6.539,0.313,140.009,4,1,2,0.154,1
05grSYrVwYw58YMOdJceyz,Patience (feat. Don Toliver),Lil Uzi Vert,Pink Tape,262429,68,0.706,0.086,0.64,0,0.537,-3.146,0.203,143.905,4,0,4,0.184,1
7sT7kZEYd1MrmzLLIRVZas,Calling My Name,Drake,"Honestly, Nevermind",129964,65,0.826,0.62,0.276,8.53E-05,0.118,-11.227,0.266,123.985,4,0,11,0.484,1
5OujiNudK0r1AdPOpPVNQr,Oh My,Yung Fazo,Oh My,145285,36,0.784,0.00494,0.635,1.40E-06,0.113,-7.247,0.0855,139.982,4,1,1,0.354,1
1kBgQ2cBNONDo7ABrvmRfu,Sidenote,Lil Tecca,We Love You Tecca,157933,58,0.666,0.0608,0.666,0,0.15,-7.748,0.277,140.001,4,1,2,0.487,1
4rXLjWdF2ZZpXCVTfWcshS,fukumean,Gunna,a Gift & a Curse,125040,96,0.847,0.119,0.622,0,0.285,-6.747,0.0903,130.001,4,0,1,0.22,1
3pq5dd3Hwg2uJ3d63v9YRx,One Call,Gunna,Drip or Drown 2,195736,52,0.861,0.125,0.481,1.38E-05,0.0903,-7.309,0.343,146.992,4,1,2,0.188,1
2IcUTJ4ZW6AFVtG4Gw8nmx,motion (feat. Dom Corleo),Yung Fazo,me vs me,161513,33,0.631,0.0165,0.548,0,0.108,-8.942,0.176,134.898,4,1,1,0.446,1
0WCJSIy75ZVxqY51ce0enc,Pluto to Mars,Lil Uzi Vert,Pink Tape,246497,69,0.807,0.0225,0.627,0,0.0904,-6.829,0.0771,122.963,4,1,11,0.761,1
5rU6kDNXZLXIinFezpbWbO,Tap (feat. Meek Mill),NAV,Bad Habits (Deluxe),148278,65,0.901,0.0646,0.676,0,0.0863,-7.033,0.251,85.018,4,1,2,0.452,1
3cAeVEM3e2qv2V4lVhMpdR,Warni Warni,Omar Souleyman,Wenu Wenu,412840,53,0.498,0.0775,0.938,0.00109,0.134,-5.456,0.0429,139.927,4,0,2,0.976,1
5kdlxZ5skOYY3VK8RlfEIZ,البخت,Wegz,البخت,206112,67,0.78,0.487,0.59,1.07E-05,0.115,-7.77,0.132,104.977,4,0,3,0.66,1
1XsRwo2it6QHdV2OiT6IzF,Tie That Binds,Drake,"Honestly, Nevermind",336005,61,0.775,0.0176,0.688,0.0917,0.108,-10.912,0.0593,120.017,4,0,4,0.284,1
4s7QLoImIwmPi9L6dq1nVW,TSU,Drake,Certified Lover Boy,308755,76,0.568,0.228,0.56,3.05E-06,0.39,-9.059,0.42,130.019,4,1,9,0.246,1
43SBf6EWx63LKYe6pGuPyP,came in wit,Destroy Lonely,If Looks Could Kill,117260,52,0.645,0.019,0.663,0,0.16,-7.646,0.0658,130.932,4,1,5,0.0908,1
4Bhdiu8zhwQR3tXy8YMbCj,DUI,Lil Tecca,We Love You Tecca,134520,74,0.774,0.567,0.409,1.12E-06,0.12,-8.688,0.336,86.52,4,0,8,0.424,1
1cByP16xx3Bikp74r1TW5f,Hëavyweight,Yeat,AftërLyfe,148800,57,0.645,0.0205,0.401,0.273,0.13,-11.703,0.0736,142.108,4,1,0,0.0699,1
2ZlABhxMMa43COmZ97kKsJ,Jumbotron Shit Poppin,Drake,Her Loss,137151,76,0.799,0.221,0.575,0,0.196,-6.257,0.282,99.026,4,0,6,0.319,1
2cQxzcGw5eUJtqIdYuRoLq,money & sex,Destroy Lonely,If Looks Could Kill,272364,67,0.711,0.00358,0.755,0.000768,0.227,-6.01,0.0781,141.05,4,1,9,0.243,1
40EXFgNMOIQRQOwJZ8mJkC,Who Told You (feat. Drake),J Hus,Who Told You (feat. Drake),208917,79,0.646,0.147,0.743,0,0.101,-4.572,0.338,151.314,5,0,11,0.891,1
43CIWpJaJHRcI4mUSjqgc2,Bad Boy (with Young Thug),Juice WRLD,Bad Boy (with Young Thug),157355,70,0.697,0.00215,0.674,0,0.138,-6.326,0.0533,81.535,4,1,1,0.198,1
0G2OvqpvifsIHALlLqB5NG,4U,Pi’erre Bourne,4U,218000,44,0.63,0.196,0.487,0.00316,0.133,-10.488,0.0531,108.753,4,0,1,0.147,1
3JWh19WsndEFg0UFRFeTiU,Minute,NAV,Perfect Timing,265373,64,0.68,0.0919,0.549,7.14E-05,0.548,-8.277,0.244,162.874,4,0,5,0.29,1
7491l7CnemDkYH0jsoLvYr,Guillotine,Pi’erre Bourne,The Life Of Pi'erre 4,179890,54,0.703,0.0132,0.463,0,0.348,-6.939,0.0528,162.924,4,0,4,0.234,1
6GNG0YQixWuLE0M5FtrRxY,Off The Map,SoFaygo,After Me,141582,59,0.472,0.0757,0.847,0,0.3,-6.347,0.0419,150.164,4,0,4,0.0789,1
0YkUwXxnTkeJBvt5upeEtP,From Florida With Love,Drake,Dark Lane Demo Tapes,234782,64,0.787,0.768,0.477,0,0.104,-7.837,0.199,80.506,4,0,6,0.476,1
4aMxs74PXoQg2SLgjypcvb,Turban,Yeat,Up 2 Më,155742,41,0.669,0.00165,0.682,0.0116,0.339,-7.974,0.293,148.153,4,1,1,0.345,1
6jy9yJfgCsMHdu2Oz4BGKX,Papi’s Home,Drake,Certified Lover Boy,178623,71,0.701,0.112,0.741,0,0.699,-6.157,0.313,140.177,4,1,2,0.588,1
2oPQVgCTYqA4FBknwAroWf,Saint Laurenttt,NAV,Good Intentions,170536,47,0.843,0.317,0.529,1.48E-05,0.284,-7.476,0.0515,97.971,4,1,7,0.289,1
09hbZ8vF8YmlVQq55Ai1Ay,Switching Lanes (feat. Playboi Carti),Pi’erre Bourne,The Life Of Pi'erre 5,190097,63,0.458,0.408,0.506,0,0.347,-9.596,0.2,163.028,4,0,1,0.736,1
5H4mXWKcicuLKDn4Jy0sK7,Time Flies,Drake,Dark Lane Demo Tapes,192931,80,0.864,0.201,0.477,0,0.182,-5.786,0.224,86.46,4,1,10,0.5,1
6Kj17Afjo1OKJYpf5VzCeo,Pain 1993 (with Playboi Carti),Drake,Dark Lane Demo Tapes,149077,81,0.825,0.163,0.373,0,0.368,-5.532,0.108,77.271,4,0,5,0.12,1
70sKIAQgaVN2zWEEyOpyMZ,All Night (BTS World Original Soundtrack) [Pt. 3],BTS,All Night (BTS World Original Soundtrack) [Pt. 3],216873,33,0.725,0.193,0.706,0,0.109,-4.766,0.121,120.042,4,1,5,0.667,1
2SAqBLGA283SUiwJ3xOUVI,Laugh Now Cry Later (feat. Lil Durk),Drake,Laugh Now Cry Later (feat. Lil Durk),261492,81,0.761,0.244,0.518,3.47E-05,0.107,-8.871,0.134,133.976,4,1,0,0.522,1
5fO4ybFbomoSWPB3n2d6pe,Hell Shell,Young Nudy,Nudy Land,162526,72,0.853,0.000909,0.514,0.0222,0.185,-5.445,0.246,129.963,4,0,0,0.679,1
1BpKJw4RZxaFB88NE5uxXf,ILoveUIHateU,Playboi Carti,Whole Lotta Red,135122,80,0.684,0.00534,0.693,0,0.506,-6.651,0.0339,134.988,4,0,4,0.108,1
4Q34FP1AT7GEl9oLgNtiWj,Mr. Right Now (feat. Drake),21 Savage,SAVAGE MODE II,193838,75,0.647,0.231,0.667,0,0.133,-5.563,0.304,172.08,4,1,5,0.704,1
0TlLq3lA83rQOYtrqBqSct,Nonstop,Drake,Scorpion,238614,82,0.912,0.0165,0.412,0.0126,0.104,-8.074,0.123,154.983,4,1,7,0.423,1
1xpXnpIpuvzpx9jz15baJF,Call Me,NAV,Perfect Timing,215066,66,0.678,0.411,0.395,0.00544,0.122,-8.639,0.12,170.065,4,0,9,0.136,1
38d4GTKMzYmJjbqbDOpJvQ,Nëw turban,Yeat,2 Alivë (Geëk Pack),167773,53,0.895,0.0329,0.676,4.11E-06,0.291,-5.786,0.199,137.966,4,1,8,0.664,1
6HU7h9RYOaPRFeh0R3UeAr,deja vu,Olivia Rodrigo,SOUR,215506,89,0.442,0.584,0.612,5.70E-06,0.37,-7.222,0.112,180.917,4,1,2,0.178,1
1eMNW1HQjF1dbb4GtnmpaX,Slay3r,Playboi Carti,Whole Lotta Red,164590,64,0.885,0.165,0.661,0,0.334,-5.062,0.141,140.028,4,0,4,0.436,1
1I55Ea0zVoSKs6MqW7DQ3i,War,Drake,Dark Lane Demo Tapes,180000,66,0.749,0.292,0.792,0,0.109,-4.151,0.0826,144.064,4,0,10,0.239,1
6MCoV5wHggKc3HOYTSpAnl,Practice,Pi’erre Bourne,The Life Of Pi'erre 5,273230,45,0.661,0.0144,0.632,4.18E-06,0.434,-7.546,0.0328,140.017,4,0,4,0.211,1
3m2aDCqn8eT5ElXDUiboGU,Get Dripped (feat. Playboi Carti),Lil Yachty,Nuthin' 2 Prove,158769,64,0.95,0.105,0.489,0,0.411,-8.411,0.462,130.021,4,1,8,0.919,1
6AyXdUH0gnVrJFQb7L7rkI,Make It Right Back,NAV,Emergency Tsunami,156518,45,0.86,0.0438,0.644,0,0.109,-4.597,0.141,140.967,4,0,11,0.809,1
5274I4mUMnYczyeXkGDWZN,Fine China,Future,Future & Juice WRLD Present... WRLD ON DRUGS,141586,73,0.656,0.0484,0.542,0,0.126,-7.358,0.323,166.111,4,1,7,0.551,1
3L0IKstjUgDFVQAbQIRZRv,R.I.P.,Playboi Carti,Die Lit,192026,78,0.725,0.0119,0.725,0,0.086,-6.067,0.159,140.003,4,0,8,0.515,1
1U6Qqq2JQzOWoHYqtG7pYO,Friends & Family,NAV,Emergency Tsunami,145121,57,0.853,0.0331,0.502,0,0.144,-7.187,0.105,129.02,4,1,1,0.3,1
1zroecomS2LFaLd09CofJS,Kant dië,Yeat,2 Alivë,161266,54,0.785,0.00426,0.524,2.16E-06,0.205,-7.937,0.128,140.035,4,1,1,0.353,1
4D7NrSeqkTarBrJ80b2sBc,Leaders (feat. NAV),Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,194843,57,0.95,0.0744,0.654,0,0.138,-5.895,0.307,132.936,4,0,0,0.886,1
65OVbaJR5O1RmwOQx0875b,Wants and Needs (feat. Lil Baby),Drake,Scary Hours 2,192956,83,0.578,0.0618,0.449,2.17E-06,0.119,-6.349,0.286,136.006,4,1,1,0.1,1
0sSRLXxknVTQDStgU1NqpY,Hours In Silence,Drake,Her Loss,399153,78,0.501,0.234,0.403,0,0.267,-11.106,0.119,118.352,4,0,6,0.111,1
74loibzxXRL875X20kenvk,Poland,Lil Yachty,Poland,83200,72,0.695,0.141,0.555,0.826,0.11,-8.5,0.0509,150.024,4,0,5,0.26,1
1Bg2CNZw6S4e9cGWPmi0uI,Place,Playboi Carti,Whole Lotta Red,117239,67,0.891,0.000674,0.628,0,0.119,-6.35,0.105,131.06,4,1,1,0.04,1
05nbZ1xxVNwUTcGwLbp7CN,Myself,NAV,NAV,226040,71,0.749,0.648,0.398,1.26E-06,0.115,-7.44,0.171,80.032,4,0,5,0.0859,1
2G7V7zsVDxg1yRsu7Ew9RJ,In My Feelings,Drake,Scorpion,217925,78,0.835,0.0589,0.626,6.00E-05,0.396,-5.833,0.125,91.03,4,1,1,0.35,1
5pHJv0bgNsT9nPoK2BjNBn,No Time (feat. Gunna),Playboi Carti,Die Lit,219453,64,0.943,0.0175,0.763,1.80E-05,0.114,-5.568,0.158,139.969,4,0,5,0.225,1
15Uxmx6D6hW0gY5kc7bpqU,Its Every Night Sis,Ricegum,Its Every Night Sis,155193,46,0.887,0.0244,0.784,0,0.112,-5.598,0.199,98.984,4,1,8,0.408,1
5R2rsbwCDXORX2tLfprRmM,Yacht Club (feat. Juice WRLD),Lil Yachty,Nuthin' 2 Prove,166343,72,0.721,0.317,0.508,0,0.153,-7.496,0.394,159.911,4,1,7,0.457,1
6DZz58CbF0AKw5PCKqNKcM,Come to Life,Kanye West,Donda,310393,0,0.44,0.689,0.465,1.26E-06,0.384,-6.592,0.0318,126.937,4,1,3,0.241,1
3CA9pLiwRIGtUBiMjbZmRw,Nice For What,Drake,Scorpion,210746,82,0.585,0.0891,0.909,9.70E-05,0.119,-6.474,0.0707,93.372,4,1,8,0.758,1
27GmP9AWRs744SzKcpJsTZ,Jumpman,Drake,What A Time To Be Alive,205879,74,0.852,0.0559,0.553,0,0.332,-7.286,0.187,142.079,4,1,1,0.656,1
0g2zuab5P1vIhEHI9oHj60,No commënt,Yeat,2 Alivë (Geëk Pack),151200,50,0.725,0.0236,0.636,9.76E-05,0.35,-7.487,0.124,147.054,4,1,1,0.21,1
